,n,Epochs_1,lr1,Epochs_2,lr2,emb_size,weight_decay,train_loss,val_loss,val_acc,pos_results,id_400,model
142,1.2,10.0,0.12,2.0,0.008,65.0,1e-06,0.1965337097644806,0.1982293426990509,0.9903671343663748,0.432298522162644,1445.0,142.0
143,1.2,10.0,0.12,3.0,0.012,45.0,1e-06,0.1802217662334442,0.21646057069301605,0.9864024161375006,0.4255820070270199,1443.0,143.0
144,1.2,10.0,0.12,3.0,0.012,55.0,1e-06,0.18041756749153137,0.21765819191932678,0.9861548374046751,0.42665851108459957,1445.0,144.0
145,1.2,10.0,0.12,3.0,0.012,65.0,1e-06,0.18076589703559875,0.22018446028232574,0.9853601488357832,0.428013359203954,1445.0,145.0
146,1.2,10.0,0.12,3.0,0.01,45.0,1e-06,0.18074437975883484,0.21259023249149323,0.9874046229774915,0.4267884240990076,1445.0,146.0
147,1.2,10.0,0.12,3.0,0.01,55.0,1e-06,0.18301400542259216,0.2142292559146881,0.9870436361194939,0.4283794181076865,1445.0,147.0
148,1.2,10.0,0.12,3.0,0.01,65.0,1e-06,0.18189163506031036,0.21660473942756653,0.9863240826097481,0.42926209735569043,1445.0,148.0
149,1.2,10.0,0.12,3.0,0.008,45.0,1e-06,0.1819312572479248,0.2073248028755188,0.9886936406815213,0.428011597532677,1445.0,149.0
150,1.2,10.0,0.12,3.0,0.008,55.0,1e-06,0.18274536728858948,0.2090393602848053,0.9882612248566178,0.4295668255175217,1445.0,150.0
151,1.2,10.0,0.12,3.0,0.008,65.0,1e-06,0.18274781107902527,0.21114347875118256,0.9877866520492082,0.43043205192915296,1445.0,151.0
152,1.2,10.0,0.1,1.0,0.012,45.0,1e-06,0.21513114869594574,0.21736520528793335,0.9856822525484997,0.4274964520759862,1443.0,152.0
153,1.2,10.0,0.1,1.0,0.012,55.0,1e-06,0.21499747037887573,0.21959002315998077,0.9850503115435516,0.4278622241960224,1445.0,153.0
154,1.2,10.0,0.1,1.0,0.012,65.0,1e-06,0.21918316185474396,0.22122663259506226,0.9846548407455075,0.4289667920867365,1441.0,154.0
155,1.2,10.0,0.1,1.0,0.01,45.0,1e-06,0.209075465798378,0.21141688525676727,0.9870775290900204,0.4275806435753897,1443.0,155.0
156,1.2,10.0,0.1,1.0,0.01,55.0,1e-06,0.2110234946012497,0.21244597434997559,0.9868051024038366,0.42812319735962345,1439.0,156.0
157,1.2,10.0,0.1,1.0,0.01,65.0,1e-06,0.21388652920722961,0.21463903784751892,0.9863305781618873,0.4285354284384546,1438.0,157.0
158,1.2,10.0,0.1,1.0,0.008,45.0,1e-06,0.2022099643945694,0.20487160980701447,0.9882952516407548,0.4269881894280058,1443.0,158.0
159,1.2,10.0,0.1,1.0,0.008,55.0,1e-06,0.2041156142950058,0.2062840461730957,0.9880388553555235,0.4278728761618837,1441.0,159.0
160,1.2,10.0,0.1,1.0,0.008,65.0,1e-06,0.2051892876625061,0.20806476473808289,0.9877621336409079,0.42836413663358547,1440.0,160.0
161,1.2,10.0,0.1,2.0,0.012,45.0,1e-06,0.19739209115505219,0.19949690997600555,0.9906119722833749,0.42408876528966793,1444.0,161.0
162,1.2,10.0,0.1,2.0,0.012,55.0,1e-06,0.19915150105953217,0.20061588287353516,0.990420951605576,0.42449694042765185,1445.0,162.0
163,1.2,10.0,0.1,2.0,0.012,65.0,1e-06,0.20144973695278168,0.20181038975715637,0.9901606449144396,0.42554210312413965,1444.0,163.0
164,1.2,10.0,0.1,2.0,0.01,45.0,1e-06,0.19433501362800598,0.1967976689338684,0.9910556322010426,0.4251956684190516,1442.0,164.0
165,1.2,10.0,0.1,2.0,0.01,55.0,1e-06,0.19848696887493134,0.19725453853607178,0.9910941254925862,0.42529124932810675,1445.0,165.0
166,1.2,10.0,0.1,2.0,0.01,65.0,1e-06,0.19946403801441193,0.19925741851329803,0.9907506994973451,0.42620027170706765,1445.0,166.0
167,1.2,10.0,0.1,2.0,0.008,45.0,1e-06,0.19190017879009247,0.19352470338344574,0.9915409121518131,0.42573363366414513,1443.0,167.0
168,1.2,10.0,0.1,2.0,0.008,55.0,1e-06,0.19460055232048035,0.19531837105751038,0.9911755561828652,0.42646280169644846,1445.0,168.0
169,1.2,10.0,0.1,2.0,0.008,65.0,1e-06,0.19568011164665222,0.19501884281635284,0.991399679051532,0.426832465880934,1443.0,169.0
170,1.2,10.0,0.1,3.0,0.012,45.0,1e-06,0.17703968286514282,0.21466918289661407,0.9868328280771648,0.4207371652005192,1440.0,170.0
171,1.2,10.0,0.1,3.0,0.012,55.0,1e-06,0.17784200608730316,0.21692006289958954,0.9862384047010815,0.42136280431847084,1444.0,171.0
172,1.2,10.0,0.1,3.0,0.012,65.0,1e-06,0.17785874009132385,0.2177586406469345,0.9860034552598305,0.42194382808710357,1445.0,172.0
173,1.2,10.0,0.1,3.0,0.01,45.0,1e-06,0.1779933124780655,0.21045757830142975,0.9880200366257571,0.4216578228037285,1442.0,173.0
174,1.2,10.0,0.1,3.0,0.01,55.0,1e-06,0.17761872708797455,0.21192549169063568,0.987821195874852,0.42284576281185676,1443.0,174.0
175,1.2,10.0,0.1,3.0,0.01,65.0,1e-06,0.1788678914308548,0.21349044144153595,0.9873618942422153,0.423730654391232,1443.0,175.0
176,1.2,10.0,0.1,3.0,0.008,45.0,1e-06,0.17870746552944183,0.20644134283065796,0.9890289257057416,0.4242550178953026,1443.0,176.0
177,1.2,10.0,0.1,3.0,0.008,55.0,1e-06,0.17923085391521454,0.20767976343631744,0.9887259093782395,0.424787083590073,1442.0,177.0
178,1.2,10.0,0.1,3.0,0.008,65.0,1e-06,0.18066023290157318,0.2094455510377884,0.9883087271827335,0.4243563344782831,1445.0,178.0
179,1.2,10.0,0.08,1.0,0.012,45.0,1e-06,0.2166818231344223,0.21622221171855927,0.9863565448331998,0.419416157557324,1433.0,179.0
180,1.2,10.0,0.08,1.0,0.012,55.0,1e-06,0.21644189953804016,0.21959497034549713,0.9855620841545438,0.42025856418055246,1438.0,180.0
181,1.2,10.0,0.08,1.0,0.012,65.0,1e-06,0.22050200402736664,0.22105489671230316,0.9852762125661073,0.4202881438703672,1437.0,181.0
182,1.2,10.0,0.08,1.0,0.01,45.0,1e-06,0.21008619666099548,0.21061795949935913,0.987559668205662,0.419535090853075,1433.0,182.0
183,1.2,10.0,0.08,1.0,0.01,55.0,1e-06,0.2107447385787964,0.21304090321063995,0.9871069147111509,0.4201069785125267,1433.0,183.0
184,1.2,10.0,0.08,1.0,0.01,65.0,1e-06,0.21046027541160583,0.2144526094198227,0.9867698598064845,0.42090698211780747,1434.0,184.0
185,1.2,10.0,0.08,1.0,0.008,45.0,1e-06,0.2029927670955658,0.20352251827716827,0.9890495646242454,0.4192653093330886,1430.0,185.0
